,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
3129,Illy,Papercuts (feat. Vera Blue),255889,0,2016,51,0.369,0.618,6,-6.304,0,0.249,0.161,0.0,0.257,0.467,191.863,pop
3130,Illy,Papercuts (feat. Vera Blue),255889,0,2016,51,0.369,0.618,6,-6.304,0,0.249,0.161,0.0,0.257,0.467,191.863,Dance/Electronic
3131,Kiiara,Gold,225882,0,2015,55,0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,rock
3132,Kiiara,Gold,225882,0,2015,55,0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,pop
3133,Kiiara,Gold,225882,0,2015,55,0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,Dance/Electronic
3134,Kygo,Stole the Show,222813,0,2016,0,0.678,0.633,8,-6.443,0,0.171,0.151,0.0,0.147,0.478,99.886,pop
3135,Kygo,Stole the Show,222813,0,2016,0,0.678,0.633,8,-6.443,0,0.171,0.151,0.0,0.147,0.478,99.886,Dance/Electronic
3136,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),214480,0,2016,75,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,pop
3137,Drake,Pop Style,212946,1,2016,63,0.713,0.462,7,-10.027,1,0.123,0.192,2.16e-06,0.105,0.0594,133.053,hip hop
3138,Drake,Pop Style,212946,1,2016,63,0.713,0.462,7,-10.027,1,0.123,0.192,2.16e-06,0.105,0.0594,133.053,pop
3139,Drake,Pop Style,212946,1,2016,63,0.713,0.462,7,-10.027,1,0.123,0.192,2.16e-06,0.105,0.0594,133.053,R&B
3140,ZAYN,PILLOWTALK,203686,1,2016,59,0.588,0.702,11,-4.271,1,0.0496,0.104,0.0,0.089,0.429,124.909,pop
3141,ZAYN,PILLOWTALK,203686,1,2016,59,0.588,0.702,11,-4.271,1,0.0496,0.104,0.0,0.089,0.429,124.909,Dance/Electronic
3142,Alessia Cara,Here,199453,0,2016,66,0.376,0.822,0,-3.974,1,0.104,0.0783,0.0,0.0841,0.327,120.493,pop
3143,Alessia Cara,Here,199453,0,2016,66,0.376,0.822,0,-3.974,1,0.104,0.0783,0.0,0.0841,0.327,120.493,R&B
3144,DJ Snake,Middle,220573,0,2016,0,0.611,0.7,9,-5.331,1,0.0436,0.0199,0.0,0.0549,0.213,104.981,hip hop
3145,DJ Snake,Middle,220573,0,2016,0,0.611,0.7,9,-5.331,1,0.0436,0.0199,0.0,0.0549,0.213,104.981,pop
3146,DJ Snake,Middle,220573,0,2016,0,0.611,0.7,9,-5.331,1,0.0436,0.0199,0.0,0.0549,0.213,104.981,Dance/Electronic
3147,Sigala,Sweet Lovin' - Radio Edit,202149,0,2015,46,0.683,0.91,10,-1.231,1,0.0515,0.0553,4.78e-06,0.336,0.674,124.977,pop
3148,Sigala,Sweet Lovin' - Radio Edit,202149,0,2015,46,0.683,0.91,10,-1.231,1,0.0515,0.0553,4.78e-06,0.336,0.674,124.977,Dance/Electronic
3149,Drake,Jumpman,205879,1,2015,72,0.852,0.553,1,-7.286,1,0.187,0.0559,0.0,0.332,0.656,142.079,hip hop
3150,Drake,Jumpman,205879,1,2015,72,0.852,0.553,1,-7.286,1,0.187,0.0559,0.0,0.332,0.656,142.079,pop
3151,Drake,Jumpman,205879,1,2015,72,0.852,0.553,1,-7.286,1,0.187,0.0559,0.0,0.332,0.656,142.079,R&B
3152,Charlie Puth,Dangerously,199133,0,2016,62,0.696,0.517,2,-8.379,0,0.0366,0.364,0.0,0.197,0.23,112.291,pop
3153,Nick Jonas,Close,234213,0,2016,69,0.654,0.623,6,-5.273,0,0.082,0.253,0.0,0.144,0.401,123.996,pop
3154,Jonas Blue,Perfect Strangers,196613,0,2016,0,0.742,0.819,1,-5.307,1,0.0487,0.372,0.0,0.277,0.709,117.986,pop
3155,Jonas Blue,Perfect Strangers,196613,0,2016,0,0.742,0.819,1,-5.307,1,0.0487,0.372,0.0,0.277,0.709,117.986,Dance/Electronic
3156,Major Lazer,Cold Water (feat. Justin Bieber & MØ),185351,0,2016,0,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.501,92.943,hip hop
3157,Major Lazer,Cold Water (feat. Justin Bieber & MØ),185351,0,2016,0,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.501,92.943,pop
3158,Major Lazer,Cold Water (feat. Justin Bieber & MØ),185351,0,2016,0,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.501,92.943,Dance/Electronic
3159,The Chainsmokers,Roses,226738,0,2015,73,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,pop
3160,The Chainsmokers,Roses,226738,0,2015,73,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,Dance/Electronic
3161,Tory Lanez,LUV,228640,1,2016,0,0.688,0.541,11,-8.128,0,0.114,0.0118,0.0,0.123,0.247,95.109,hip hop
3162,Tory Lanez,LUV,228640,1,2016,0,0.688,0.541,11,-8.128,0,0.114,0.0118,0.0,0.123,0.247,95.109,pop
3163,Tory Lanez,LUV,228640,1,2016,0,0.688,0.541,11,-8.128,0,0.114,0.0118,0.0,0.123,0.247,95.109,R&B
3164,P!nk,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",215413,0,2016,68,0.632,0.702,7,-5.92,1,0.148,0.0114,0.0,0.108,0.523,162.958,pop
3165,Bryson Tiller,Don't,198293,1,2015,78,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,hip hop
3166,Bryson Tiller,Don't,198293,1,2015,78,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,pop
3167,Bryson Tiller,Don't,198293,1,2015,78,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,R&B
3168,Steve Aoki,Just Hold On,198774,0,2016,63,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,hip hop
