,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3061,217603,70,0.617,0.567,-4.188,0.0828,0.0584,0.0,0.0933,0.505,90.246
1793,192573,70,0.791,0.713,-3.742,0.254,0.0163,0.0,0.189,0.514,130.012
1129,305080,56,0.53,0.597,-5.652,0.0247,0.00275,0.473,0.105,0.346,96.0
1418,273133,70,0.412,0.876,-6.008,0.47,0.102,0.0,0.297,0.703,130.159
2702,213733,70,0.818,0.799,-4.1,0.156,0.00107,0.128,0.057,0.0815,100.014
964,168879,67,0.86,0.907,-3.321,0.0407,0.279,0.693,0.0648,0.786,138.045
1562,212106,64,0.769,0.638,-5.054,0.216,0.0902,0.0,0.0857,0.782,115.007
3659,177185,64,0.887,0.765,-5.207,0.0669,0.00915,0.000872,0.0907,0.456,102.958
2138,210960,81,0.646,0.795,-3.293,0.0976,0.0319,0.0,0.267,0.796,89.99
3681,231266,80,0.68,0.578,-5.804,0.04,0.331,0.0,0.135,0.341,145.038
3105,199693,68,0.716,0.908,-3.254,0.103,0.0858,0.0,0.135,0.869,91.03
1558,327880,46,0.788,0.549,-8.793,0.0732,0.0352,0.127,0.147,0.449,120.051
3034,196520,86,0.764,0.705,-5.279,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003
494,251280,54,0.542,0.589,-6.813,0.0284,0.246,0.0,0.188,0.336,133.838
2632,214080,0,0.483,0.871,-3.084,0.101,0.015,0.0,0.415,0.716,164.986
2321,221075,78,0.66,0.689,-2.671,0.0337,0.0884,0.0,0.0922,0.427,127.98
1903,215200,68,0.729,0.675,-5.292,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036
3614,114893,71,0.703,0.594,-6.146,0.0752,0.342,0.0,0.123,0.475,153.848
1176,274440,74,0.963,0.643,-5.785,0.117,0.0507,4.94e-05,0.157,0.534,107.005
3349,222040,48,0.67,0.838,-4.031,0.0362,0.0605,0.000611,0.159,0.716,105.0
1279,261053,35,0.474,0.744,-5.386,0.0341,0.0208,1.22e-06,0.209,0.238,129.005
2058,215746,66,0.442,0.83,-4.02,0.146,0.128,0.0,0.129,0.578,89.338
1974,227320,57,0.438,0.672,-4.706,0.0429,0.0055,0.0,0.0583,0.457,185.934
823,216706,70,0.751,0.731,-4.419,0.0308,0.0838,0.0,0.0556,0.973,97.007
3102,209425,0,0.734,0.847,-3.713,0.0346,0.355,0.000144,0.154,0.673,104.013
1056,240040,59,0.838,0.594,-5.695,0.113,0.176,0.0,0.0867,0.507,90.038
2506,255053,68,0.669,0.634,-6.476,0.0327,0.0125,0.0,0.0946,0.496,124.906
3231,234308,0,0.697,0.716,-6.288,0.113,0.118,0.0,0.0424,0.506,99.905
3558,201660,77,0.752,0.488,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041
1512,253813,77,0.644,0.549,-5.415,0.0285,0.0209,8.85e-06,0.134,0.167,90.04
512,245133,73,0.839,0.706,-6.104,0.199,0.208,0.0,0.242,0.839,96.673
2791,267866,80,0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97
1111,207506,67,0.548,0.554,-6.408,0.0587,0.283,0.0,0.0708,0.382,79.918
1920,184573,66,0.799,0.783,-3.896,0.0322,0.0346,0.0186,0.0757,0.586,127.041
