,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2957,221560,0,0.6,0.676,-6.447,0.0652,0.154,0.0,0.0741,0.217,88.928
3365,223503,68,0.741,0.667,-5.445,0.134,0.0575,0.0,0.106,0.595,112.956
2652,216120,78,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089
3390,135090,82,0.921,0.537,-5.723,0.0804,0.556,0.00404,0.102,0.711,128.009
2776,203466,65,0.753,0.801,-3.215,0.0296,0.403,0.0,0.128,0.794,128.011
419,230346,42,0.646,0.638,-5.803,0.0787,0.0556,0.0014,0.182,0.74,86.994
2857,247266,69,0.407,0.725,-5.346,0.188,0.0141,2.46e-06,0.306,0.247,196.093
3137,212946,63,0.713,0.462,-10.027,0.123,0.192,2.16e-06,0.105,0.0594,133.053
1957,263773,58,0.76,0.595,-6.366,0.0391,0.00544,0.0,0.241,0.361,131.497
241,218360,73,0.725,0.583,-9.942,0.0427,0.3,0.000238,0.0665,0.762,79.984
3057,196000,62,0.916,0.804,-3.406,0.049,0.37,1.18e-05,0.0812,0.538,120.028
1720,178013,75,0.64,0.957,-2.336,0.0741,0.0431,0.0,0.0789,0.692,134.992
625,255266,61,0.859,0.658,-4.481,0.192,0.0326,0.00181,0.0651,0.538,98.989
370,289160,77,0.727,0.552,-8.074,0.14,0.227,0.000164,0.198,0.607,168.189
2845,192560,75,0.596,0.73,-4.091,0.151,0.24,0.0,0.325,0.525,85.979
1801,249026,51,0.44,0.517,-7.355,0.363,0.428,0.0,0.173,0.475,73.881
1107,231040,0,0.722,0.329,-11.617,0.108,0.088,0.0,0.081,0.166,99.991
2941,217906,64,0.757,0.884,-5.488,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012
2288,227786,70,0.718,0.776,-5.208,0.0693,0.000624,5.3e-06,0.207,0.622,120.015
2546,219720,76,0.622,0.469,-6.798,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019
1444,267413,56,0.697,0.629,-5.757,0.0425,0.409,3.8e-06,0.0819,0.439,123.279
1326,275986,81,0.583,0.829,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028
2767,255631,74,0.503,0.727,-5.456,0.167,0.0159,9.45e-05,0.0895,0.521,121.985
2763,198880,61,0.677,0.753,-7.038,0.154,0.0531,0.0128,0.333,0.471,121.939
844,263506,56,0.755,0.381,-6.696,0.0711,0.291,5.13e-06,0.0974,0.695,73.108
2612,353893,69,0.832,0.659,-7.828,0.057,0.0839,0.00114,0.0753,0.674,100.163
2304,219546,74,0.716,0.821,-3.435,0.0314,0.0558,0.0,0.0844,0.618,92.997
607,239026,73,0.662,0.748,-3.041,0.268,0.688,8.43e-06,0.0841,0.535,82.331
2598,220682,61,0.704,0.68,-4.751,0.0581,0.0059,0.0,0.213,0.689,123.973
3483,214289,82,0.687,0.792,-2.749,0.0452,0.191,0.0,0.167,0.671,100.015
2709,194561,73,0.794,0.51,-7.314,0.42,0.0505,1.81e-06,0.0562,0.18,167.879
3591,126446,71,0.899,0.811,-6.294,0.258,0.000677,0.0,0.0672,0.587,105.038
1822,198440,77,0.871,0.701,-5.594,0.0458,0.257,7.52e-06,0.0589,0.716,126.975
1357,237053,68,0.701,0.724,-5.751,0.145,0.267,0.0,0.0867,0.425,132.035
1482,295933,52,0.67,0.8,-6.731,0.0652,0.00184,0.000356,0.466,0.656,123.802
659,234800,48,0.853,0.752,-8.831,0.339,0.178,4.65e-06,0.0553,0.935,104.946
3219,247160,83,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
3192,194613,76,0.525,0.433,-10.598,0.185,0.107,0.0,0.135,0.276,160.108
670,234893,57,0.707,0.538,-5.264,0.505,0.362,0.0,0.317,0.439,121.732
1815,201213,54,0.719,0.861,-6.982,0.0402,0.0447,0.00989,0.219,0.948,121.491
1658,217826,63,0.177,0.425,-6.211,0.0291,0.654,0.0,0.195,0.0942,182.571
1788,212773,59,0.581,0.824,-3.912,0.0377,0.0105,0.0,0.483,0.747,114.912
978,229866,71,0.846,0.482,-6.721,0.129,0.0246,0.0,0.393,0.212,100.969
1763,177573,38,0.624,0.977,-3.34,0.22,0.00615,0.0,0.253,0.74,126.127
3567,192470,75,0.682,0.559,-5.545,0.127,0.174,0.0,0.344,0.137,202.015
2285,193400,78,0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021
988,247506,60,0.772,0.599,-5.996,0.246,0.0277,0.0,0.0839,0.557,92.029
1529,209800,65,0.767,0.881,-3.988,0.0301,0.00133,0.000139,0.0551,0.961,130.018
2022,263173,66,0.692,0.786,-2.959,0.069,0.23,0.0,0.0797,0.583,100.025
128,202800,55,0.822,0.847,-6.729,0.0917,0.0854,0.0,0.0452,0.668,107.908
300,234400,61,0.739,0.679,-5.079,0.0373,0.000424,0.0187,0.389,0.786,127.487
1902,215200,68,0.729,0.675,-5.292,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036
400,275026,0,0.641,0.72,-5.209,0.0336,0.0688,0.00286,0.193,0.418,92.988
1441,238360,58,0.808,0.721,-5.165,0.213,0.197,0.0,0.205,0.773,94.955
215,223546,63,0.721,0.737,-2.734,0.0324,0.121,0.0,0.165,0.931,97.996
2685,184280,72,0.544,0.915,-3.405,0.0841,0.129,0.000914,0.115,0.51,126.094
1986,269493,73,0.781,0.745,-5.81,0.0332,0.198,1.14e-05,0.36,0.326,129.998
374,244506,78,0.585,0.776,-5.898,0.0459,0.0572,7.74e-06,0.3,0.427,77.987
1553,321293,69,0.654,0.77,-6.091,0.0353,0.00342,0.0,0.0887,0.272,137.616
2761,285596,67,0.636,0.761,-7.752,0.035,0.00377,0.00784,0.0851,0.463,120.837
2286,250626,76,0.378,0.638,-5.576,0.075,0.02,7.66e-05,0.0849,0.735,184.086
332,262133,66,0.708,0.587,-7.93,0.151,0.273,0.0,0.0718,0.554,83.46
881,225173,42,0.814,0.387,-9.867,0.0946,0.0248,0.0,0.131,0.792,93.961
1372,209533,62,0.822,0.905,-4.032,0.241,0.123,0.0,0.0496,0.674,128.014
250,211120,68,0.797,0.75,-9.369,0.247,0.533,0.108,0.095,0.74,177.87
2013,180480,74,0.66,0.867,-4.285,0.116,0.11,0.0,0.0368,0.377,93.033
1327,275986,81,0.583,0.829,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028
1128,188960,71,0.662,0.739,-5.354,0.0322,0.00206,0.0603,0.113,0.382,130.999
994,225533,65,0.741,0.759,-5.096,0.12,0.0218,0.0,0.628,0.362,97.084
1334,246466,71,0.756,0.77,-3.502,0.0343,0.191,0.0,0.178,0.73,119.961
2270,240796,69,0.425,0.732,-6.883,0.0396,0.00194,0.0103,0.171,0.333,117.98
1392,253573,62,0.607,0.599,-6.886,0.0995,0.33,0.0,0.199,0.562,86.491
1007,280013,55,0.684,0.493,-7.728,0.0459,0.000839,0.0,0.157,0.08,84.03
1820,239986,71,0.839,0.804,-2.513,0.0329,0.0192,0.0,0.331,0.888,122.973
1174,261880,59,0.964,0.595,-6.887,0.109,0.0248,5.14e-06,0.0405,0.629,128.593
453,432146,48,0.786,0.853,-8.274,0.0688,0.0499,0.0872,0.35,0.309,126.99
2076,236440,73,0.581,0.717,-4.433,0.0318,0.0298,0.000186,0.243,0.316,107.884
2448,222213,61,0.716,0.838,-4.289,0.0513,0.134,0.0,0.148,0.646,130.034
210,253586,54,0.661,0.855,-8.403,0.0377,0.0722,0.0185,0.199,0.601,123.943
1410,216600,75,0.56,0.959,-2.433,0.102,0.000722,0.000221,0.209,0.669,163.983
3555,157560,79,0.755,0.522,-4.368,0.0575,0.533,0.0,0.0685,0.925,89.96
2169,278719,82,0.449,0.585,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631
2668,247266,69,0.407,0.725,-5.346,0.188,0.0141,2.46e-06,0.306,0.247,196.093
2500,201000,69,0.691,0.921,-1.702,0.0533,0.173,0.0,0.331,0.8,130.072
3083,191600,80,0.671,0.314,-8.091,0.244,0.11,0.0,0.0825,0.296,110.898
2217,233666,60,0.45,0.846,-4.712,0.0472,0.00523,0.0,0.228,0.402,140.042
1490,263920,57,0.697,0.86,-5.181,0.43,0.0368,0.0,0.0721,0.433,160.895
85,265026,47,0.771,0.796,-3.081,0.076,0.0993,0.00278,0.0981,0.801,99.316
3193,194613,76,0.525,0.433,-10.598,0.185,0.107,0.0,0.135,0.276,160.108
1800,249026,51,0.44,0.517,-7.355,0.363,0.428,0.0,0.173,0.475,73.881
972,230493,73,0.688,0.835,-4.162,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858
3257,201240,80,0.672,0.655,-5.021,0.0311,0.0362,0.0,0.117,0.556,134.945
3313,223962,59,0.929,0.723,-5.792,0.109,0.0672,0.0,0.346,0.458,125.022
2027,207546,54,0.724,0.87,-3.614,0.113,0.00453,0.0,0.833,0.81,93.01
342,300933,54,0.623,0.896,-4.719,0.247,0.035,0.0,0.0941,0.613,95.158
591,217586,70,0.761,0.899,-3.09,0.183,0.0135,0.0,0.0719,0.673,95.027
3161,228640,0,0.688,0.541,-8.128,0.114,0.0118,0.0,0.123,0.247,95.109
3630,187436,7,0.719,0.704,-4.724,0.0476,0.0691,0.0,0.166,0.628,133.002
3550,157066,79,0.878,0.619,-5.56,0.102,0.0533,0.0,0.113,0.639,136.041
756,219826,74,0.489,0.649,-5.11,0.0336,0.000603,0.713,0.101,0.77,158.009
1555,287906,57,0.837,0.954,-3.512,0.0414,0.0933,0.000405,0.143,0.972,127.019
1613,241960,56,0.529,0.934,-4.808,0.0602,0.00153,5.16e-06,0.118,0.282,127.962
962,237706,76,0.489,0.692,-6.672,0.41,0.0322,0.00608,0.315,0.527,96.946
910,301133,62,0.75,0.458,-9.092,0.0803,0.226,3.25e-05,0.137,0.536,83.61
3290,119133,83,0.872,0.391,-9.144,0.242,0.469,4.13e-06,0.297,0.437,134.021
3431,207629,58,0.722,0.744,-5.52,0.0363,0.0234,0.000157,0.143,0.686,125.985
2352,212360,0,0.821,0.676,-6.366,0.0547,0.187,0.0001,0.0927,0.559,119.012
2257,243920,67,0.666,0.87,-5.004,0.246,0.203,0.0,0.0851,0.9,160.014
958,272080,72,0.875,0.631,-3.475,0.099,0.00542,2.54e-06,0.127,0.549,120.003
422,248933,52,0.611,0.654,-4.823,0.139,0.372,0.00432,0.0926,0.609,105.922
2170,278719,82,0.449,0.585,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631
2786,209866,52,0.521,0.754,-4.144,0.0634,0.0373,0.0,0.239,0.352,125.876
3263,181812,77,0.791,0.582,-7.323,0.286,0.0114,0.0,0.35,0.443,162.991
2382,227973,64,0.594,0.841,-5.792,0.102,0.000238,2.22e-06,0.156,0.643,129.925
64,255600,55,0.798,0.48,-5.564,0.0276,0.247,0.0,0.237,0.643,108.241
2875,228360,80,0.393,0.858,-2.868,0.0729,0.00359,0.0,0.102,0.56,176.042
3100,205593,57,0.756,0.589,-5.093,0.232,0.0812,0.0,0.176,0.811,146.928
2388,232800,66,0.71,0.882,-2.932,0.0595,0.00777,0.00771,0.294,0.875,128.016
1289,258653,67,0.432,0.261,-12.591,0.0512,0.953,0.00342,0.0903,0.273,89.567
2074,216480,71,0.484,0.368,-7.784,0.0341,0.74,3.82e-05,0.118,0.142,92.923
1564,338853,75,0.375,0.862,-3.363,0.255,0.071,0.0,0.211,0.478,159.841
3081,240000,69,0.895,0.681,-5.267,0.358,0.157,0.0,0.189,0.554,121.918
1409,212400,66,0.584,0.699,-6.065,0.0378,6.52e-05,6.05e-05,0.486,0.585,82.499
692,253720,58,0.837,0.885,-3.914,0.182,0.103,0.0,0.0666,0.694,95.313
527,170493,64,0.654,0.515,-12.185,0.0261,0.429,5.62e-06,0.174,0.677,106.191
632,285569,72,0.492,0.896,-5.819,0.117,0.000172,2.78e-06,0.189,0.534,184.981
139,226760,52,0.736,0.666,-4.929,0.0337,0.0593,3.82e-05,0.107,0.224,89.824
1230,226973,70,0.588,0.391,-8.607,0.0334,0.839,0.0,0.227,0.349,144.069
2144,228453,72,0.7,0.598,-7.783,0.114,0.0369,0.0,0.111,0.594,160.041
1926,248133,79,0.855,0.954,-1.19,0.264,0.529,0.0,0.205,0.668,114.635
1547,224400,76,0.724,0.695,-5.226,0.0622,0.073,0.0,0.0889,0.235,139.0
1704,289133,80,0.743,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.96
434,272293,59,0.777,0.751,-5.692,0.133,0.245,0.0,0.1,0.191,177.894
569,272533,68,0.835,0.687,-3.18,0.184,0.101,0.0,0.132,0.828,94.059
1207,241306,57,0.769,0.609,-5.894,0.357,0.216,0.0,0.166,0.633,90.951
951,246960,77,0.779,0.64,-8.415,0.159,0.000155,0.00077,0.101,0.498,99.019
2999,218173,0,0.373,0.858,-6.536,0.0889,0.00407,0.0016,0.256,0.605,120.063
3592,126446,71,0.899,0.811,-6.294,0.258,0.000677,0.0,0.0672,0.587,105.038
3146,220573,0,0.611,0.7,-5.331,0.0436,0.0199,0.0,0.0549,0.213,104.981
3470,223712,72,0.926,0.703,-6.337,0.103,0.0659,0.0,0.231,0.485,125.022
875,237026,77,0.277,0.663,-8.821,0.0377,0.000409,0.00051,0.136,0.527,104.561
579,324306,68,0.648,0.759,-4.315,0.306,0.0142,0.0,0.648,0.518,85.996
1803,357706,73,0.457,0.906,-2.278,0.342,0.249,0.0,0.182,0.54,104.02
2672,170625,45,0.614,0.972,-3.927,0.088,0.00125,0.0186,0.328,0.411,127.966
244,256240,69,0.563,0.86,-7.533,0.0621,0.00834,0.0106,0.39,0.517,97.867
548,217680,60,0.499,0.72,-9.101,0.0286,0.00466,0.00303,0.122,0.652,96.103
3199,246240,1,0.773,0.747,-4.061,0.0889,0.0239,8.23e-06,0.11,0.8,126.014
3699,178426,78,0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994
2543,208316,68,0.509,0.79,-3.782,0.0374,0.332,6.67e-05,0.316,0.638,127.946
897,224933,57,0.68,0.847,-6.636,0.108,0.0217,0.0,0.0374,0.75,176.051
635,199040,58,0.791,0.733,-5.123,0.029,0.00189,0.201,0.0859,0.917,105.987
582,238840,59,0.734,0.668,-3.935,0.0349,0.0526,0.0,0.0925,0.651,99.971
2343,225146,75,0.564,0.71,-4.92,0.0461,0.00125,0.0,0.109,0.393,91.972
2949,199314,55,0.336,0.664,-5.68,0.102,0.166,1.31e-06,0.0575,0.294,186.394
3435,229670,71,0.645,0.705,-5.008,0.299,0.000813,0.0,0.128,0.376,137.133
1684,250106,60,0.707,0.724,-3.887,0.051,0.0448,0.0,0.072,0.659,108.984
2355,218190,68,0.578,0.946,-3.85,0.0482,0.00225,0.00412,0.0966,0.588,126.092
1654,206413,62,0.699,0.699,-5.564,0.0737,0.358,0.0,0.0912,0.611,94.977
2978,237792,71,0.783,0.467,-9.474,0.0503,0.729,0.809,0.109,0.236,90.838
1090,173680,71,0.535,0.948,-4.19,0.0356,0.00225,0.0,0.376,0.778,103.183
1257,255333,72,0.688,0.519,-4.285,0.0283,0.064,0.0,0.1,0.318,116.714
1209,199120,0,0.64,0.977,-5.369,0.0555,0.00461,1.68e-05,0.371,0.493,142.019
1987,269493,73,0.781,0.745,-5.81,0.0332,0.198,1.14e-05,0.36,0.326,129.998
815,239026,73,0.662,0.748,-3.041,0.268,0.688,8.43e-06,0.0841,0.535,82.331
619,298600,54,0.772,0.724,-5.799,0.307,0.0149,0.0,0.355,0.518,84.038
979,229866,71,0.846,0.482,-6.721,0.129,0.0246,0.0,0.393,0.212,100.969
537,238173,56,0.338,0.685,-5.178,0.0322,0.00052,0.000512,0.109,0.221,102.192
3565,169303,60,0.585,0.782,-4.101,0.0897,0.269,0.0,0.156,0.521,121.908
887,229080,46,0.706,0.665,-5.348,0.0453,0.0128,0.0,0.338,0.639,89.993
982,203360,0,0.8,0.633,-4.875,0.0514,0.0901,0.0,0.0315,0.836,95.953
2112,195986,68,0.813,0.732,-5.636,0.03,0.0597,0.00137,0.0826,0.731,130.02
3426,188560,69,0.791,0.745,-3.695,0.0464,0.354,2.93e-05,0.104,0.82,94.014
565,236133,76,0.646,0.77,-6.596,0.226,0.00249,0.0,0.0715,0.681,99.165
701,226053,60,0.612,0.735,-5.074,0.0282,0.00202,0.00118,0.328,0.783,126.326
1332,232533,78,0.656,0.291,-10.572,0.0293,0.872,0.0,0.114,0.298,103.971
2296,286480,74,0.346,0.552,-6.864,0.0282,0.417,0.0,0.114,0.0789,75.881
3242,239000,77,0.259,0.437,-6.589,0.0386,0.102,1.32e-06,0.106,0.0951,180.042
2603,209466,57,0.726,0.795,-4.653,0.029,0.136,0.0,0.698,0.952,115.995
3608,256971,72,0.767,0.709,-4.47,0.336,0.323,0.0,0.0745,0.72,171.993
963,237706,76,0.489,0.692,-6.672,0.41,0.0322,0.00608,0.315,0.527,96.946
1051,222653,52,0.489,0.798,-4.49,0.0316,0.00115,2.81e-06,0.149,0.309,94.163
532,269400,59,0.793,0.568,-4.958,0.0459,0.0478,3.57e-05,0.0304,0.806,100.005
3513,260000,67,0.552,0.76,-4.706,0.342,0.0733,0.0,0.0865,0.639,135.702
2597,220682,61,0.704,0.68,-4.751,0.0581,0.0059,0.0,0.213,0.689,123.973
182,254026,70,0.514,0.911,-2.027,0.41,0.0559,0.0,0.775,0.619,161.109
785,208600,63,0.735,0.466,-8.65,0.0857,0.239,6.24e-06,0.102,0.643,99.973
1267,252653,62,0.64,0.62,-5.931,0.416,0.016,0.0,0.0831,0.609,129.37
3380,184560,78,0.694,0.77,-5.335,0.149,0.176,1.1e-05,0.118,0.163,125.905
2460,220946,65,0.514,0.683,-5.099,0.0367,0.0749,2.64e-06,0.392,0.575,159.814
1222,273973,50,0.906,0.633,-5.316,0.19,0.000182,8.34e-06,0.058,0.779,84.021
2428,286253,53,0.18,0.636,-6.591,0.0439,0.209,0.000133,0.217,0.39,75.223
2864,190185,49,0.657,0.827,-4.036,0.0734,0.000704,0.00534,0.065,0.69,145.889
42,225493,69,0.528,0.965,-7.984,0.0465,0.141,0.985,0.0797,0.587,136.065
3226,180933,84,0.614,0.318,-12.695,0.0478,0.896,0.00239,0.0795,0.112,119.959
547,217680,60,0.499,0.72,-9.101,0.0286,0.00466,0.00303,0.122,0.652,96.103
1779,191000,69,0.675,0.862,-4.614,0.0253,0.0165,0.000427,0.169,0.498,129.967
2835,252226,76,0.659,0.381,-5.922,0.0304,0.385,0.0,0.0972,0.426,119.844
552,303920,64,0.432,0.936,-4.537,0.0562,0.00691,0.0,0.14,0.499,157.469
3685,136568,69,0.677,0.714,-5.637,0.0287,0.162,0.0,0.0717,0.355,94.956
1446,219533,45,0.753,0.759,-4.829,0.0487,0.0523,0.0,0.0263,0.706,114.999
2719,206166,78,0.699,0.529,-7.548,0.0487,0.0317,3.59e-05,0.285,0.121,119.987
1197,241840,66,0.888,0.577,-7.702,0.0612,0.0986,0.0,0.131,0.609,84.003
395,172240,53,0.718,0.69,-4.382,0.265,0.106,0.0,0.271,0.774,93.401
439,237800,64,0.66,0.536,-8.786,0.29,0.233,0.00669,0.111,0.775,159.963
806,206106,63,0.97,0.72,-3.347,0.149,0.0369,0.000389,0.326,0.962,107.17
718,293960,75,0.614,0.568,-5.477,0.0276,0.00797,0.0,0.0997,0.516,107.849
3539,197946,73,0.575,0.571,-7.906,0.0439,0.0558,0.0,0.0912,0.449,105.049
1384,250666,68,0.729,0.658,-3.386,0.225,0.0506,0.0,0.0693,0.551,140.043
203,252986,57,0.622,0.669,-8.419,0.329,0.0266,2.97e-06,0.152,0.57,93.839
2009,232506,51,0.544,0.781,-3.616,0.189,0.014,0.0,0.161,0.277,150.1
34,211893,65,0.801,0.876,-3.94,0.0446,0.144,1.38e-05,0.104,0.932,122.979
1770,206333,59,0.546,0.712,-3.104,0.0269,0.000969,0.0,0.406,0.489,150.154
723,245773,55,0.649,0.536,-8.804,0.132,0.492,0.0,0.184,0.513,78.935
3148,202149,46,0.683,0.91,-1.231,0.0515,0.0553,4.78e-06,0.336,0.674,124.977
1849,220626,60,0.545,0.918,-1.925,0.0448,0.0571,0.0,0.0415,0.855,117.985
1030,258666,65,0.568,0.732,-4.896,0.103,0.179,4.92e-06,0.401,0.626,186.048
174,316733,69,0.459,0.83,-6.254,0.0364,5.15e-05,0.00014,0.206,0.431,155.827
2518,221272,68,0.485,0.724,-4.633,0.0521,0.0736,0.0,0.0631,0.433,128.045
1664,242373,80,0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
3610,256971,72,0.767,0.709,-4.47,0.336,0.323,0.0,0.0745,0.72,171.993
2990,198293,78,0.765,0.356,-5.556,0.195,0.223,0.0,0.0963,0.189,96.991
3510,213993,72,0.477,0.61,-5.628,0.144,0.225,0.0,0.107,0.358,79.882
2491,232146,0,0.733,0.818,-7.222,0.0859,0.0241,0.0,0.0636,0.253,116.019
1020,283454,50,0.9,0.515,-6.626,0.372,0.00341,0.0,0.111,0.659,84.995
644,293666,52,0.527,0.808,-4.749,0.295,0.176,0.0,0.169,0.907,87.025
1249,244613,37,0.42,0.742,-5.665,0.0375,0.142,0.0,0.145,0.294,149.965
1335,246466,71,0.756,0.77,-3.502,0.0343,0.191,0.0,0.178,0.73,119.961
2714,216013,0,0.743,0.861,-5.234,0.0428,0.00518,0.0,0.181,0.391,111.959
1862,258760,54,0.431,0.894,-2.673,0.33,0.0951,0.0,0.188,0.605,162.161
84,243666,52,0.829,0.652,-8.693,0.108,0.067,0.0,0.0812,0.726,99.581
336,304666,0,0.569,0.385,-9.919,0.0499,0.342,0.0,0.0876,0.339,99.738
3296,220883,77,0.584,0.54,-7.786,0.0576,0.0895,0.0,0.261,0.195,137.972
667,304000,61,0.784,0.459,-9.74,0.317,0.0847,0.0,0.079,0.618,164.062
926,277840,59,0.688,0.404,-9.481,0.0818,0.377,0.0,0.0813,0.448,75.007
77,234960,68,0.63,0.625,-5.088,0.0252,0.231,0.0,0.0765,0.683,167.998
628,222400,48,0.6,0.736,-6.228,0.0329,0.325,0.0,0.137,0.848,158.108
3627,183527,73,0.95,0.59,-6.508,0.29,0.00534,0.0,0.11,0.219,130.003
383,226440,58,0.701,0.677,-6.591,0.147,0.0737,0.000162,0.187,0.367,99.271
3357,269186,78,0.773,0.819,-5.946,0.118,0.428,0.0,0.0679,0.585,92.987
3675,174444,69,0.59,0.642,-3.87,0.122,0.0771,0.0,0.105,0.651,107.356
792,298773,73,0.851,0.849,-3.383,0.0828,0.497,2.05e-06,0.116,0.844,120.014
2661,209423,67,0.743,0.72,-3.753,0.124,0.192,0.000386,0.109,0.519,163.99
2793,227833,72,0.799,0.586,-6.735,0.0377,0.162,2.03e-06,0.193,0.549,120.97
2502,229506,77,0.673,0.758,-3.632,0.158,0.039,0.0,0.341,0.542,135.956
2826,222213,0,0.685,0.709,-3.578,0.0748,0.0132,0.0,0.452,0.504,93.047
1805,202586,63,0.605,0.902,-5.406,0.0511,0.0185,1.01e-06,0.0534,0.875,132.612
3162,228640,0,0.688,0.541,-8.128,0.114,0.0118,0.0,0.123,0.247,95.109
1186,192213,73,0.803,0.454,-4.802,0.0294,0.352,0.0,0.0655,0.739,99.99
536,242000,47,0.38,0.725,-6.094,0.0365,0.00571,0.00015,0.3,0.202,130.581
1731,237120,59,0.825,0.743,-5.995,0.149,0.0142,2.12e-05,0.237,0.8,127.045
507,335613,64,0.675,0.607,-3.538,0.162,0.0302,8.97e-06,0.339,0.56,177.928
207,222435,53,0.645,0.903,-10.587,0.0441,0.00188,0.799,0.147,0.61,135.977
3124,195200,75,0.526,0.862,-6.003,0.0905,0.0144,0.0597,0.229,0.528,90.052
2191,215226,75,0.735,0.766,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.985
2020,263173,66,0.692,0.786,-2.959,0.069,0.23,0.0,0.0797,0.583,100.025
622,359973,47,0.849,0.498,-7.872,0.272,0.116,4.49e-05,0.268,0.502,92.98
2688,239573,61,0.886,0.628,-5.949,0.131,0.00215,1.15e-05,0.31,0.178,119.906
3135,222813,0,0.678,0.633,-6.443,0.171,0.151,0.0,0.147,0.478,99.886
392,276360,53,0.792,0.797,-5.166,0.0901,0.062,0.00325,0.0896,0.491,123.993
1248,230613,62,0.551,0.598,-6.79,0.27,0.15,0.0,0.299,0.612,78.756
1083,219000,61,0.662,0.785,-5.299,0.186,0.16,0.0,0.0784,0.604,89.885
28,214883,73,0.671,0.88,-6.149,0.0552,0.00181,0.691,0.285,0.782,136.953
2447,222213,61,0.716,0.838,-4.289,0.0513,0.134,0.0,0.148,0.646,130.034
1541,267080,77,0.835,0.669,-5.582,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668
2016,216933,68,0.624,0.723,-6.782,0.378,0.172,0.0,0.483,0.757,84.789
3560,157605,81,0.88,0.751,-4.258,0.0874,0.177,6.43e-05,0.106,0.884,117.948
228,271626,50,0.7,0.787,-5.176,0.0327,0.00666,3.68e-05,0.0724,0.556,102.043
2187,204760,71,0.736,0.817,-4.9,0.0407,0.00987,0.00167,0.117,0.653,119.95
585,249480,76,0.712,0.772,-3.024,0.346,0.0521,4.35e-06,0.0368,0.848,84.722
1616,190973,47,0.654,0.884,-5.466,0.202,0.151,0.000268,0.379,0.851,124.072
789,187280,61,0.759,0.825,-4.289,0.22,0.0923,0.00057,0.24,0.429,94.857
2469,205346,71,0.651,0.695,-3.218,0.0487,0.23,0.0,0.144,0.569,123.008
127,243533,55,0.859,0.622,-8.196,0.0445,0.0661,0.0,0.0394,0.433,134.007
487,276373,32,0.412,0.667,-6.997,0.229,0.195,0.0,0.305,0.533,68.942
1509,229413,74,0.697,0.467,-7.536,0.0715,0.248,0.0,0.0941,0.572,82.082
2197,224333,48,0.687,0.939,-4.372,0.146,0.0887,0.0,0.283,0.539,104.029
2814,244226,67,0.702,0.629,-4.292,0.041,0.0506,0.0,0.0963,0.446,141.967
1370,212280,69,0.735,0.826,-4.902,0.0349,0.00101,0.129,0.197,0.74,132.964
3244,189029,53,0.548,0.701,-4.862,0.0914,0.0178,1.34e-05,0.134,0.309,104.237
550,208626,56,0.776,0.844,-5.305,0.0297,0.0277,0.000244,0.135,0.868,125.972
3574,169353,82,0.652,0.557,-5.714,0.0318,0.74,0.0,0.124,0.483,150.073
197,250706,71,0.667,0.773,-4.983,0.0586,0.201,0.0,0.404,0.667,89.976
1473,187733,69,0.675,0.828,-5.799,0.0454,0.0242,0.0102,0.364,0.669,122.229
2869,212640,76,0.738,0.868,-4.373,0.0731,0.0392,0.00169,0.388,0.336,122.003
3286,207680,70,0.688,0.822,-3.304,0.0537,0.0642,0.0,0.241,0.66,91.011
3653,163320,72,0.876,0.662,-6.482,0.426,0.0608,0.0,0.127,0.844,75.445
3064,213506,69,0.557,0.803,-3.599,0.213,0.0124,1.61e-06,0.737,0.657,92.134
163,274800,64,0.41,0.539,-8.412,0.0302,0.00425,0.00089,0.117,0.141,138.852
2361,166866,0,0.676,0.935,-4.55,0.0692,0.357,0.0,0.853,0.85,96.055
1388,208106,73,0.644,0.939,-3.486,0.0456,0.157,0.0,0.233,0.861,106.031
3038,251466,77,0.756,0.674,-6.518,0.0959,0.0184,0.0,0.158,0.389,111.995
818,239026,73,0.662,0.748,-3.041,0.268,0.688,8.43e-06,0.0841,0.535,82.331
1035,237733,63,0.7,0.538,-5.952,0.045,0.000204,0.0,0.105,0.189,136.518
2703,213733,70,0.818,0.799,-4.1,0.156,0.00107,0.128,0.057,0.0815,100.014
2727,201626,50,0.686,0.524,-7.251,0.0343,0.649,0.0569,0.14,0.0951,124.938
3443,187521,64,0.845,0.709,-4.547,0.0714,0.0233,0.0,0.094,0.62,98.062
